2023-04-12 08:51:07 startup archives unpack
2023-04-12 08:51:07 install readline-common:all <none> 8.1-1
2023-04-12 08:51:07 status half-installed readline-common:all 8.1-1
2023-04-12 08:51:07 status unpacked readline-common:all 8.1-1
2023-04-12 08:51:07 install libreadline8:amd64 <none> 8.1-1
2023-04-12 08:51:07 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2023-04-12 08:51:07 status half-installed libreadline8:amd64 8.1-1
2023-04-12 08:51:07 status unpacked libreadline8:amd64 8.1-1
2023-04-12 08:51:07 install openssl:amd64 <none> 1.1.1n-0+deb11u4
2023-04-12 08:51:07 status half-installed openssl:amd64 1.1.1n-0+deb11u4
2023-04-12 08:51:07 status unpacked openssl:amd64 1.1.1n-0+deb11u4
2023-04-12 08:51:07 install ca-certificates:all <none> 20210119
2023-04-12 08:51:07 status half-installed ca-certificates:all 20210119
2023-04-12 08:51:08 status unpacked ca-certificates:all 20210119
2023-04-12 08:51:08 install libbrotli1:amd64 <none> 1.0.9-2+b2
2023-04-12 08:51:08 status half-installed libbrotli1:amd64 1.0.9-2+b2
2023-04-12 08:51:08 status unpacked libbrotli1:amd64 1.0.9-2+b2
2023-04-12 08:51:08 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-04-12 08:51:08 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-04-12 08:51:08 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-04-12 08:51:08 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-04-12 08:51:08 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-04-12 08:51:08 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-04-12 08:51:08 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2023-04-12 08:51:08 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-04-12 08:51:08 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-04-12 08:51:08 install libnghttp2-14:amd64 <none> 1.43.0-1
2023-04-12 08:51:08 status half-installed libnghttp2-14:amd64 1.43.0-1
2023-04-12 08:51:08 status unpacked libnghttp2-14:amd64 1.43.0-1
2023-04-12 08:51:08 install libpsl5:amd64 <none> 0.21.0-1.2
2023-04-12 08:51:08 status half-installed libpsl5:amd64 0.21.0-1.2
2023-04-12 08:51:08 status unpacked libpsl5:amd64 0.21.0-1.2
2023-04-12 08:51:08 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2023-04-12 08:51:08 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-04-12 08:51:08 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-04-12 08:51:08 install libssh2-1:amd64 <none> 1.9.0-2
2023-04-12 08:51:08 status half-installed libssh2-1:amd64 1.9.0-2
2023-04-12 08:51:08 status unpacked libssh2-1:amd64 1.9.0-2
2023-04-12 08:51:08 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+deb11u7
2023-04-12 08:51:08 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u7
2023-04-12 08:51:08 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u7
2023-04-12 08:51:08 install gnupg1:amd64 <none> 1.4.23-1.1
